TrainFirstMulThenAdd,TrainGaussStdMul,TrainGaussStdAdd,InfFirstMulThenAdd,InfGaussStdMul,InfGaussStdAdd,Accuracy
True,0.5994842503189408,3593.8136638046253,False,0.00774263682681127,3593.8136638046253,53.58
True,0.5994842503189408,3593.8136638046253,False,0.5994842503189408,3593.8136638046253,57.59
True,0.5994842503189408,3593.8136638046253,False,46.41588833612773,3593.8136638046253,18.6
True,0.5994842503189408,3593.8136638046253,False,3593.8136638046253,3593.8136638046253,17.98
True,0.5994842503189408,3593.8136638046253,False,278255.94022071257,3593.8136638046253,18.39
True,0.5994842503189408,3593.8136638046253,False,21544346.90031878,3593.8136638046253,17.99
True,0.5994842503189408,3593.8136638046253,False,1668100537.2000556,3593.8136638046253,18.29
True,0.5994842503189408,3593.8136638046253,False,129154966501.48827,3593.8136638046253,18.35
True,0.5994842503189408,3593.8136638046253,False,10000000000000.0,3593.8136638046253,18.22
True,0.5994842503189408,3593.8136638046253,False,9.999999999999999e-05,278255.94022071257,10.07
True,0.5994842503189408,3593.8136638046253,False,0.00774263682681127,278255.94022071257,10.04
True,0.5994842503189408,3593.8136638046253,False,0.5994842503189408,278255.94022071257,9.91
True,0.5994842503189408,3593.8136638046253,False,46.41588833612773,278255.94022071257,10.1
True,0.5994842503189408,3593.8136638046253,False,3593.8136638046253,278255.94022071257,9.85
True,0.5994842503189408,3593.8136638046253,False,278255.94022071257,278255.94022071257,9.98
True,0.5994842503189408,3593.8136638046253,False,21544346.90031878,278255.94022071257,10.0
True,0.5994842503189408,3593.8136638046253,False,1668100537.2000556,278255.94022071257,10.05
True,0.5994842503189408,3593.8136638046253,False,129154966501.48827,278255.94022071257,10.09
True,0.5994842503189408,3593.8136638046253,False,10000000000000.0,278255.94022071257,10.13
True,0.5994842503189408,3593.8136638046253,False,9.999999999999999e-05,21544346.90031878,10.02
True,0.5994842503189408,3593.8136638046253,False,0.00774263682681127,21544346.90031878,9.94
True,0.5994842503189408,3593.8136638046253,False,0.5994842503189408,21544346.90031878,10.03
True,0.5994842503189408,3593.8136638046253,False,46.41588833612773,21544346.90031878,9.94
True,0.5994842503189408,3593.8136638046253,False,3593.8136638046253,21544346.90031878,9.93
True,0.5994842503189408,3593.8136638046253,False,278255.94022071257,21544346.90031878,9.93
True,0.5994842503189408,3593.8136638046253,False,21544346.90031878,21544346.90031878,10.05
True,0.5994842503189408,3593.8136638046253,False,1668100537.2000556,21544346.90031878,10.04
True,0.5994842503189408,3593.8136638046253,False,129154966501.48827,21544346.90031878,10.09
True,0.5994842503189408,3593.8136638046253,False,10000000000000.0,21544346.90031878,9.94
